,name,floorPrice,marketCap,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,thirtyDayVolume,totalVolume,id
5827,2021splinydeformers,0.01,1.02,8.0,34.0,0.0,0.06,0.0,0.0,-0.9087868653086044,0.06,0.7178,Q29sbGVjdGlvblN0YXRzVHlwZTo1Mjk2MjY=
5828,Crazy Sphynx Club,0.03,61.32,9.0,2044.0,0.0,0.06,0.0,0.0,-0.2,0.12,0.27,Q29sbGVjdGlvblN0YXRzVHlwZTo3ODU4ODQ=
5829,Floki Punks,0.06,13.32,34.0,222.0,-0.9803921568627451,0.06,0.0,0.06,0.0,3.12,3.12,Q29sbGVjdGlvblN0YXRzVHlwZTo5MTM5MjQ=
5830,16px rocks,0.02,2.02,4.0,101.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDM3NDkz
5831,Mystery Doors,0.01,0.37,2.0,37.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDA1NTY4
5832,colorme,0.02,2.46,2.0,41.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo1Nzg3NTI=
5833,Hashfluids,0.03,124.14,6.0,4138.0,0.0,0.06,-1.0,0.0,1.0,0.06,0.12,Q29sbGVjdGlvblN0YXRzVHlwZTozODQ3MTE=
5834,Victoria Citro,0.017,0.6,3.0,20.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5NzAyODM=
5835,Kitty Sack,0.01,0.06,2.0,5.0,0.0,0.06,-0.8,0.01,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5Nzk2NTg=
5836,Plan A -  Pixel Art,0.055,1.2,4.0,20.0,0.0,0.06,0.0,0.06,0.0,0.06,0.145,Q29sbGVjdGlvblN0YXRzVHlwZTo3MDA1MTg=
5837,Nadia's iPad Pro collection,0.01,0.39999999999999997,5.0,20.0,-0.4000000000000001,0.06,0.0,0.0,0.0,0.16,0.16,Q29sbGVjdGlvblN0YXRzVHlwZTo5NjkwMDM=
5838,Dhavalilama,1.0,0.06,1.0,2.0,0.0,0.06,0.0,0.03,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo4NjM3Mzc=
5839,Everyday Pixel,0.03,0.03,3.0,1.0,0.0,0.06,-1.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5Mjg0MjA=
5840,Nanshu29,0.014,0.36,2.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo2ODI5OTg=
5841,NFTworldArt Liuqinglu,0.06,0.54,4.0,9.0,0.0,0.06,0.0,0.0,0.0,0.18,0.18,Q29sbGVjdGlvblN0YXRzVHlwZTo4MjAzMjE=
5842,HUMAN ANIMAL,0.055,0.12,2.0,2.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo4MjQ5NjU=
5843,Sweet coated bitter,0.06,0.12,2.0,2.0,-0.25000000000000006,0.06,0.0,0.0,0.0,0.14,0.14,Q29sbGVjdGlvblN0YXRzVHlwZTo5NTEwNjI=
5844,UnUnofficial Punks,0.02,18.0,158.0,900.0,1.9999999999999998,0.06,0.0,0.0,0.5642458100558662,0.28,36.9875777470223,Q29sbGVjdGlvblN0YXRzVHlwZTo0NDUxMQ==
5845,Crypto Van Gogh Punks,0.05,4.859999999999999,17.0,81.0,-0.8636363636363636,0.06,0.0,0.0,0.0,0.5,2.1,Q29sbGVjdGlvblN0YXRzVHlwZToyODQ4MDQ=
5846,Limited PIeces,0.06,0.18,13.0,3.0,0.0,0.06,0.0,0.06,0.0,0.66,0.66,Q29sbGVjdGlvblN0YXRzVHlwZTo4MDQ5NzE=
5847,Code Artblocks Punks,0.02,1.44,21.0,48.0,-0.9230769230769231,0.06,-1.0,0.0,0.0,0.88,0.88,Q29sbGVjdGlvblN0YXRzVHlwZTo5MDUyNjc=
5848,"Richy , The Fishy man",0.015,0.3,9.0,20.0,-0.25000000000000006,0.06,-1.0,0.0,0.0,0.2,0.2,Q29sbGVjdGlvblN0YXRzVHlwZTo4MjA5MDE=
5849,Untitled Collection #62959158,0.01,0.08,4.0,8.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5NzczNjg=
5850,Quayz-R Shards,0.025,1.02,2.0,34.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDAwMjg3
5851,Purgatory Punks,0.02,4.0,20.0,200.0,-0.888888888888889,0.06,0.0,0.0,0.0,0.6,0.6,Q29sbGVjdGlvblN0YXRzVHlwZTo5MTQzODQ=
5852,432Hz Music,0.01,0.26,5.0,26.0,0.0,0.06,-0.3333333333333333,0.02,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODAwOTc=
5853,Cartwars,0.04,0.66,52.0,11.0,0.0,0.06,0.0,0.0,0.1883325111001481,0.9635,2.95429999999999,Q29sbGVjdGlvblN0YXRzVHlwZTo1MzI0NzU=
